ZONA,PARTIDO,ORDEN N°,PLAZO,EXPEDIENTE,EMPRESA,CAUCE,SITIO A INTERVENIR,COORDENADA DE INICIO,COORDENADAS DE FINALIZACIÓN,COORDENADAS POLARES INICIO,COORDENADAS POLARES FINAL,METROS,TIPO DE CAUCE,MAPS,IFRAME,FICHA,F. INICIO,F. FINAL,ESTADO,RETROEXCAVADORA CON BRAZO LARGO,RETROEXCAVADORA CON BRAZO CORTO,RETROEXCAVADORA CON TRITURADORA FLORESTAL,PALA CARGADORA FRONTAL,RETROPALA,EXCAVADORA TIPO ARAÑA EXTENSIBLE,RETROEXCAVADORA ANFIBIA,TOPADORA,MOTONIVELADORA,CAMIÓN TATU,TOTAL HORAS,VALOR LAR,VALOR COR,VALOR FOR,VALOR CAR,VALOR RET,VALOR ARA,VALOR ANF,VALOR TOP,VALOR MOT,VALOR CAM,INVERSIÓN PROGRAMADA
Zona 5,Azul,3,60,EX-2025-34982586- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,a definir,a definir,a definir,a definir,a definir,a definir,a definir,Otro,https://www.google.com/maps/d/edit?mid=1BvzsjH6dr4ji76ZhvuOpjHtt81I--io&usp=sharing,https://www.google.com/maps/d/embed?mid=1BvzsjH6dr4ji76ZhvuOpjHtt81I--io&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1pDeeN2KZeX3Yq2hhcy8wM0cQh6d22P_h/view?usp=drive_link,En trámite,En trámite,En análisis,,35,350,35,,,,,,,420,"$0,00","$5.180.000,00","$51.800.000,00","$4.130.000,00",,,,"$0,00","$0,00","$0,00","$61.110.000,00"
Zona 6,General Lamadrid,1,20,EX-2025-23233503- -GDEBA-DPTLMIYSPGP,Lurovial S.R.L.,Canal de Guarda - Margen Norte,Margen norte desde su desembocadura en el Arroyo hasta el Acceso a Pontaut Camino Secundario 040-01,"-37.746664, -61.315106","-37.738636, -61.325100","37°44'48.0""S 61°18'54.4""W","37°44'19.1""S 61°19'30.4""W",1250,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1SpCZi9bjxYAiuzFWVdTXBeQjPn5ruz0&usp=sharing,https://www.google.com/maps/d/embed?mid=1PMMS8YmZSTRcFoR90ipsjkZq29tjIwI&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/13KrH0TrL4mnp_EHBL3oX0bp53RvjGTUb/view?usp=drive_link,2/8/2025,22/8/2025,Finalizado,100,,,60,,,,,,,160,"$26.134.700,00","$0,00",,"$11.065.020,00","$0,00",,,"$0,00","$0,00","$0,00","$37.199.720,00"
Zona 6,General Lamadrid,1,20,EX-2025-23233503- -GDEBA-DPTLMIYSPGP,Lurovial S.R.L.,Canal de Guarda - Margen Sur,Margen sur desde su desembocadur aen el Arroyo hasta el Acceso a Pontaut Camino Secundario 040-01,"-37.746758, -61.315289","-37.738817, -61.325175","37°44'48.3""S 61°18'55.0""W","37°44'19.7""S 61°19'30.6""W",1250,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1VSdVXlBlTwvCAGB_5EvPnGkT41Oaqqg&usp=sharing,https://www.google.com/maps/d/embed?mid=1PMMS8YmZSTRcFoR90ipsjkZq29tjIwI&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/18x9XZOcpcFYGRdDHz3bPbRzPIDL8jazr/view?usp=drive_link,2/8/2025,22/8/2025,Finalizado,100,,,60,,,,,,,160,"$26.134.700,00","$0,00",,"$11.065.020,00","$0,00",,,"$0,00","$0,00","$0,00","$37.199.720,00"
Zona 6,General Lamadrid,1,20,EX-2025-23233503- -GDEBA-DPTLMIYSPGP,Lurovial S.R.L.,Canal de Guarda Noroeste,Desde el préstamo del Ferrocarril General Roca hasta Calle Vecinal,"-37.719022, -61.322294","-37.731364, -61.334433","37°43'08.5""S 61°19'20.3""W","37°43'52.9""S 61°20'04.0""W",1800,Canal sin revestir,https://www.google.com/maps/d/edit?mid=19JyOCgklXO2dLytzCxqNXheQdTwSG_Y&usp=sharing,https://www.google.com/maps/d/embed?mid=19JyOCgklXO2dLytzCxqNXheQdTwSG_Y&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1d8qlPk206LGVVX4wiCDv2cgL_I-zZYvz/view?usp=drive_link,2/8/2025,22/8/2025,Finalizado,,100,,,20,,,,,,120,"$0,00","$20.192.200,00",,"$0,00","$3.943.760,00",,,"$0,00","$0,00","$0,00","$24.135.960,00"
Zona 6,Coronel Pringles,2,40,EX-2025-27313996- -GDEBA-DPTLMIYSPGP,Lurovial S.R.L.,Arroyo Pillahuinco Grande,Desde la Ruta Provincial N° 51 hasta Acceso calle 36,"-37.991908, -61.328286","-38.001825, -61.359706","37°59'30.9""S 61°19'41.8""W","38°00'06.6""S 61°21'34.9""W",3800,Arroyo,https://www.google.com/maps/d/edit?mid=1eVggdTB5UMnhzusAGzocZe_m3nQoIEE&usp=sharing,https://www.google.com/maps/d/embed?mid=1eVggdTB5UMnhzusAGzocZe_m3nQoIEE&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1RKuZWKhE5UyAkmhh77onmJd2IxTF6wO6/view?usp=drive_link,11/9/2025,20/10/2025,Finalizado,90,240,,50,,,,50,,50,480,"$23.521.230,00","$48.461.280,00",,"$9.220.850,00","$0,00",,,"$10.987.000,00","$0,00","$8.563.400,00","$100.753.760,00"
Zona 6,Coronel Pringles,3,40,EX-2025-34984387- -GDEBA-DPTLMIYSPGP,Lurovial S.R.L.,a definir,a definir,a definir,a definir,a definir,a definir,a definir,Otro,https://www.google.com/maps/d/edit?mid=1cm_GxMKZYTmBDlQoqmO2iNIiPZ1_Sqc&usp=sharing,https://www.google.com/maps/d/embed?mid=1cm_GxMKZYTmBDlQoqmO2iNIiPZ1_Sqc&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1skWw4CXD4zehJvOalPp5bJLhVZ0Omgdk/view?usp=drive_link,24/10/2025,3/12/2025,En ejecución,,150,,45,,,,,70,30,295,"$0,00","$30.288.300,00",,"$8.298.765,00","$0,00",,,"$0,00","$16.296.140,00","$5.138.040,00","$60.021.245,00"
Zona 6,Saavedra,3,40,EX-2025-34984387- -GDEBA-DPTLMIYSPGP,Lurovial S.R.L.,a definir,a definir,a definir,a definir,a definir,a definir,a definir,Otro,https://www.google.com/maps/d/edit?mid=17qMxlv_r7l4c5jsLX0hnNJVp35q_c5s&usp=sharing,https://www.google.com/maps/d/embed?mid=17qMxlv_r7l4c5jsLX0hnNJVp35q_c5s&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1mpw0OVT7MSCmTf0-SovFilQLDu_p5Uku/view?usp=drive_link,24/10/2025,3/12/2025,En ejecución,,250,,,,,,30,,45,325,"$0,00","$50.480.500,00",,"$0,00","$0,00",,,"$6.592.200,00","$0,00","$7.707.060,00","$64.779.760,00"
Zona 7,Rivadavia,1,30,EX-2025-23520691- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Canal Los Áromos,Paralelo a calle De los Áramos desde Acceso Lito Rodriguez Nte. 730 metros hacia el sur,"-35.495556, -62.994167","-35.490000, -62.997722","35°29'44.0""S 62°59'39.0""W","35°29'24.0""S 62°59'51.8""W",730,Zanja / Zanjón,https://www.google.com/maps/d/edit?mid=1i-dlOgV_tCsldh5cOimXUxrIboYAsXc&usp=sharing,https://www.google.com/maps/d/embed?mid=1i-dlOgV_tCsldh5cOimXUxrIboYAsXc&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/13NnHczcCvv1EDeyDr2tI1eGEKSHs0vCl/view?usp=drive_link,5/8/2025,5/9/2025,Finalizado,,40,,,,,,,,,40,"$0,00","$6.306.328,80",,,"$0,00",,,"$0,00","$0,00","$0,00","$6.306.328,80"
Zona 7,Rivadavia,1,30,EX-2025-23520691- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Canal J. D. Perón - J. Gemesio,Desde J. D. Perón y P° del Inmigrantes hasta  J. Gemesio y N. F. Tiscornia,"-35.483194, -62.964944","-35.483056, -62.980250","35°28'59.5""S 62°57'53.8""W","35°28'59.0""S 62°58'48.9""W",1740,Zanja / Zanjón,https://www.google.com/maps/d/edit?mid=1jf2xOcapT4qJca20JKWvc685v71KYhs&usp=sharing,https://www.google.com/maps/d/embed?mid=1jf2xOcapT4qJca20JKWvc685v71KYhs&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1KgzG32l_a-bjVCy-nPIj89JHcrVwDg5f/view?usp=drive_link,5/8/2025,5/9/2025,Finalizado,,195,,,50,,,,,65,310,"$0,00","$30.743.352,90",,,"$4.622.961,50",,,"$0,00","$0,00","$11.868.556,05","$47.234.870,45"
Zona 7,Rivadavia,1,30,EX-2025-23520691- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Canal J. D. Perón - Italia,Desde su desembocadura en el canal principal paraleloa a J. D. Perón hasta Italia y H. Nieto,"-35.493056, -62.953056","-35.490000, -62.961667","35°29'35.0""S 62°57'11.0""W","35°29'24.0""S 62°57'42.0""W",970,Zanja / Zanjón,https://www.google.com/maps/d/edit?mid=1f2-NeU4O6K891yVc5qpFhjbnrm2a7Lg&usp=sharing,https://www.google.com/maps/d/embed?mid=1f2-NeU4O6K891yVc5qpFhjbnrm2a7Lg&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1SgwtgBwDC0bMMY9JHS5inf0mOSeiczhR/view?usp=drive_link,5/8/2025,5/9/2025,Finalizado,,52,,,,,,,,,52,"$0,00","$8.198.227,44",,,"$0,00",,,"$0,00","$0,00","$0,00","$8.198.227,44"
Zona 7,Florentino Ameghino,1,30,EX-2025-23520691- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Canal de Desagües,Desde el antiguo camino a la Localidad de Blaquier (de tierra) hasta las vías del ferrocarril D.F. Sarmiento,"-34.808333, -62.484444","-34.852936, -62.479986","34°48'30.0""S 62°29'04.0""W","34°51'10.6""S 62°28'48.0""W",5200,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1DwHf5SCEwn-TU2ooXHfZsnMTKSB-nU0&usp=sharing,https://www.google.com/maps/d/embed?mid=1DwHf5SCEwn-TU2ooXHfZsnMTKSB-nU0&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1w5nQkwPAwrhzBcgrWvbATA6O1EcbvIM9/view?usp=drive_link,5/8/2025,5/9/2025,Finalizado,221,,,,,,,,,,221,"$41.502.157,97","$0,00",,,"$0,00",,,"$0,00","$0,00","$0,00","$41.502.157,97"
Zona 7,Carlos Casares,2,45,EX-2025-27314051- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Canal en zona Sur,Desde Km. 306 hasta Km 314,"-35.618250, -61.285111","-35.642852, -61.366684","35°37'05.7""S 61°17'06.4""W","35°38'48.3""S 61°22'34.6""W",8000,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1wOPF-0q-5DF0iWEwSbYlXjWk-bzh5-0&usp=sharing,https://www.google.com/maps/d/embed?mid=1wOPF-0q-5DF0iWEwSbYlXjWk-bzh5-0&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1Y-kOVUk885w0gOG-zeP_r7RfxgUmqNc5/view?usp=drive_link,23/9/2025,6/11/2025,Finalizado,300,,,,,,,,,,300,"$56.337.771,00","$0,00",,,"$0,00",,,"$0,00","$0,00","$0,00","$56.337.771,00"
Zona 7,Pellegrini,2,45,EX-2025-27314051- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Desagües Pluviales,En cercanías de la Localidad de Bocayuba (al oeste) hasta 460 mts. de última calle del Casco Urbano,"-36.212222, -63.083611","-36.260303, -63.146019","36°12'44.0""S 63°05'01.0""W","36°15'37.1""S 63°08'45.7""W",7770,Canal sin revestir,https://www.google.com/maps/d/edit?mid=14x2osyfW13rXo8P03u0ob7uiMkSp-cs&usp=sharing,https://www.google.com/maps/d/embed?mid=14x2osyfW13rXo8P03u0ob7uiMkSp-cs&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1QDHnTCxhhVgRJ3lYO1LpRr0jAKrnj2t3/view?usp=drive_link,23/9/2025,6/11/2025,Finalizado,,438,,,,,,,,,438,"$0,00","$69.054.300,36",,,"$0,00",,,"$0,00","$0,00","$0,00","$69.054.300,36"
Zona 7,Daireaux,2,45,EX-2025-27314051- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Canal de Desagüe Pluvial de zona norte,Desde la intersección con el Canal de Desagües de la Planta Urbana hasta el Acceso Jorge Omar Carlé,"-36.589369, -61.726292","-36.591381, -61.759436","36°35'21.7""S 61°43'34.7""W","36°35'29.0""S 61°45'34.0""W",4685,Canal sin revestir,https://www.google.com/maps/d/edit?mid=181to6dyVSbIYFf0cVK_nCfDqyXx4Et0&usp=sharing,https://www.google.com/maps/d/embed?mid=181to6dyVSbIYFf0cVK_nCfDqyXx4Et0&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/17z3sr9K8DmcgCNUIdkKbOcA_xjuT2KgY/view?usp=drive_link,23/9/2025,6/11/2025,Finalizado,,,,,,,,100,,,100,"$0,00","$0,00",,,"$0,00",,,"$19.515.165,00","$0,00","$0,00","$19.515.165,00"
Zona 7,Pehuajó,3,45,EX-2025-33795159- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,a definir,a definir,a definir,a definir,a definir,a definir,a definir,Otro,https://www.google.com/maps/d/edit?mid=194bx889pjR-9m52lhTf8EHBWj47UcDM&usp=sharing,https://www.google.com/maps/d/embed?mid=194bx889pjR-9m52lhTf8EHBWj47UcDM&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1uq3SiMRqFy2Bu5ZwnW_ysovcU-2462GT/view?usp=drive_link,22/10/2025,6/12/2025,En ejecución,56,135,,,,,,20,40,67,318,"$10.516.383,92","$21.283.859,70",,,"$0,00",,,"$3.903.033,00","$5.932.238,00","$12.233.742,39","$53.869.257,01"
Zona 7,Rivadavia,3,45,EX-2025-33795159- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,a definir,a definir,a definir,a definir,a definir,a definir,a definir,Otro,https://www.google.com/maps/d/edit?mid=17oC7iPYyyduWcvoXpEC5LWPyj6kN36A&usp=sharing,https://www.google.com/maps/d/embed?mid=17oC7iPYyyduWcvoXpEC5LWPyj6kN36A&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1uz507SCCF_dV_85Yenvy7TKaD1MUF7Gn/view?usp=drive_link,22/10/2025,6/12/2025,En ejecución,56,135,,,,,,20,40,67,318,"$10.516.383,92","$21.283.859,70",,,"$0,00",,,"$3.903.033,00","$5.932.238,00","$12.233.742,39","$53.869.257,01"
Zona 7,Florentino Ameghino,3,45,EX-2025-33795159- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,a definir,a definir,a definir,a definir,a definir,a definir,a definir,Otro,https://www.google.com/maps/d/edit?mid=1Y0gC8CiihPdp5dfs90TNo5L2pnCiioA&usp=sharing,https://www.google.com/maps/d/embed?mid=1Y0gC8CiihPdp5dfs90TNo5L2pnCiioA&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1w5nQkwPAwrhzBcgrWvbATA6O1EcbvIM9/view?usp=drive_link,22/10/2025,6/12/2025,En ejecución,56,135,,,,,,20,40,67,318,"$10.516.383,92","$21.283.859,70",,,"$0,00",,,"$3.903.033,00","$5.932.238,00","$12.233.742,39","$53.869.257,01"
Zona 7,Hipólito Yrigoyen,3,45,EX-2025-33795159- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,a definir,a definir,a definir,a definir,a definir,a definir,a definir,Otro,https://www.google.com/maps/d/edit?mid=1aAbhvsrodcIgHT37Eq14c4bA0SmkkaE&usp=sharing,https://www.google.com/maps/d/embed?mid=1aAbhvsrodcIgHT37Eq14c4bA0SmkkaE&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/12sQV9eBUSOnLthPy7ViLJfFmFI9P56sO/view?usp=drive_link,22/10/2025,6/12/2025,En ejecución,56,135,,,,,,20,40,67,318,"$10.516.383,92","$21.283.859,70",,,"$0,00",,,"$3.903.033,00","$5.932.238,00","$12.233.742,39","$53.869.257,01"
Zona 7,Daireaux,3,45,EX-2025-33795159- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,a definir,a definir,a definir,a definir,a definir,a definir,a definir,Otro,https://www.google.com/maps/d/edit?mid=1nl_2aM44FmHJj6Ga9zWEr5qfFX3qvVg&usp=sharing,https://www.google.com/maps/d/embed?mid=1nl_2aM44FmHJj6Ga9zWEr5qfFX3qvVg&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1uWFPCp8eP9rxV-R0pq8-06uOKRVGy4Om/view?usp=drive_link,22/10/2025,6/12/2025,En ejecución,55,135,,,,,,20,40,67,317,"$10.328.591,35","$21.283.859,70",,,"$0,00",,,"$3.903.033,00","$5.932.238,00","$12.233.742,39","$53.681.464,44"
Zona 8,General Guido,1,30,EX-2025-23518761- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Canal de derivación - tramo este,Desde el canal 1 hasta desembocadura en laguna (este),"-36.535694, -57.855083","-36.545389, -57.851722","36°32'08.5""S 57°51'18.3""W","36°32'43.4""S 57°51'06.2""W",1080,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1y_GK6Y2xJP4FK1aSEkEesIR0yGynSUo&usp=sharing,https://www.google.com/maps/d/embed?mid=1y_GK6Y2xJP4FK1aSEkEesIR0yGynSUo&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1-hzpZqe9Em6iwKC6NAYMZWuHFmnzcO0Y/view?usp=drive_link,24/7/2025,24/8/2025,Finalizado,,80,,25,,,,,,16,121,"$0,00","$11.840.000,00",,"$2.950.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$1.872.000,00","$16.662.000,00"
Zona 8,General Guido,1,30,EX-2025-23518761- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Canal de derivación - tramo oeste,Desde su confluencia con el canal derivador (este) hasta su desembocadura en la laguna (oeste),"-36.536889, -57.854778","-36.546417, -57.866278","36°32'12.8""S 57°51'17.2""W","36°32'47.1""S 57°51'58.6""W",1540,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1cs1CHNjd8uuGeDtwF2begQOfvJTOGkc&usp=sharing,https://www.google.com/maps/d/embed?mid=1cs1CHNjd8uuGeDtwF2begQOfvJTOGkc&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1g8ZHN07n8H8dcS1QTozZUtM179t8eFrW/view?usp=drive_link,24/7/2025,24/8/2025,Finalizado,,100,,35,,,,,,22,157,"$0,00","$14.800.000,00",,"$4.130.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$2.574.000,00","$21.504.000,00"
Zona 8,Castelli,1,30,EX-2025-23518761- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Canal Pluvial - etapa 1,Desde Autovía 2 hasta alambrado límite con predio identificado catastralmente como Circ: 10 Parcela: 65A,"-36.137797, -57.785390","-36.139900, -57.790162","36°08'16.1""S 57°47'07.4""W","36°08'23.6""S 57°47'24.6""W",480,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1onzT9f7-D5jdZZNha6XtQk_kyLRyDUw&usp=sharing,https://www.google.com/maps/d/embed?mid=1onzT9f7-D5jdZZNha6XtQk_kyLRyDUw&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1untJW-eGwojRSwHdkmvzHxBBV5TXC34c/view?usp=drive_link,24/7/2025,24/8/2025,Finalizado,,50,,10,,,,,,7,67,"$0,00","$7.400.000,00",,"$1.180.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$819.000,00","$9.399.000,00"
Zona 8,Dolores,1,30,EX-2025-23518761- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Canal A - etapa 1,Desde Hm 387 (puente Ruta Provincial N°63) hasta Hm 410,"-36.310351, -57.610326","-36.322828, -57.631996","36°18'37.3""S 57°36'37.2""W","36°19'22.2""S 57°37'55.2""W",2300,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1Tf7XCSwdtisT-2Iax8_4eATXo2yq4-k&usp=sharing,https://www.google.com/maps/d/embed?mid=1Tf7XCSwdtisT-2Iax8_4eATXo2yq4-k&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1_cR35o5-DL0Hw8RNDyot0I_UCpaAZaSb/view?usp=drive_link,24/7/2025,24/8/2025,Finalizado,,170,,50,,,,,,35,255,"$0,00","$25.160.000,00",,"$5.900.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$4.095.000,00","$35.155.000,00"
Zona 8,Tordillo,2,35,EX-2025-27314015- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Canal C,Ubicado en el margen izquierdo del Canal 1 desde Hm 277.5 del Canal 1 hasta Hm 313 Canal 1,"-36.461453, -57.312536","-36.470578, -57.349592","36°27'41.2""S 57°18'45.1""W","36°28'14.1""S 57°20'58.5""W",3572,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1IrfuPnnYLCl2-IVrrQMJoC-87cf5FyY&usp=sharing,https://www.google.com/maps/d/embed?mid=1IrfuPnnYLCl2-IVrrQMJoC-87cf5FyY&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1YSVgpr20_01-wTI_ivSKrBueK6B8lvOT/view?usp=drive_link,13/9/2025,16/10/2025,Finalizado,300,,,,60,,,,,,360,"$46.200.000,00","$0,00",,"$0,00","$6.162.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$52.362.000,00"
Zona 8,Castelli,2,35,EX-2025-27314015- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Canal Pluvial - etapa 2,Desde alambrado límite con predio Circunscripción: 10 Parcela: 65A (Hm 2128) hasta Hm 2388,"-36.139903, -57.790181","-36.153181, -57.813561","36°08'23.7""S 57°47'24.7""W","36°09'11.5""S 57°48'48.8""W",2600,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1sr4j1aUdETtX61O5cEWuo-1Ca0_Y7qY&usp=sharing,https://www.google.com/maps/d/embed?mid=1sr4j1aUdETtX61O5cEWuo-1Ca0_Y7qY&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1ozmGxN4ATv317d2oLiIkAcGLJi8U4Sm0/view?usp=drive_link,13/9/2025,16/10/2025,Finalizado,,200,,,,,,40,,,240,"$0,00","$29.600.000,00",,"$0,00","$0,00","$0,00","$0,00","$6.985.600,00","$0,00","$0,00","$36.585.600,00"
Zona 8,Dolores,2,35,EX-2025-27314015- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Canal A - etapa 2,Desde Hm 410 hasta Hm 44262 (Puente C. Lara),"-36.322831, -57.632028","-36.338883, -57.659744","36°19'22.2""S 57°37'55.3""W","36°20'20.0""S 57°39'35.1""W",3127,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1jBfC5yKOLKJcT2iEDWPyiZbEoQK8B_o&usp=sharing,https://www.google.com/maps/d/embed?mid=1jBfC5yKOLKJcT2iEDWPyiZbEoQK8B_o&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1dmiYA5IMD1Et8FXWyB6XW9KaeNFygksE/view?usp=drive_link,13/9/2025,16/10/2025,Finalizado,,100,,,,,,40,,,140,"$0,00","$14.800.000,00",,"$0,00","$0,00","$0,00","$0,00","$6.985.600,00","$0,00","$0,00","$21.785.600,00"
Zona 8,Castelli,3,40,EX-2025-34982952- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Canal Pluvial - etapa 3,Desde su confluencia con el canal afluente de la Laguna La Rosita hatsa la Ruta Nac. N° 2,"-36.116592, -57.745312","-36.137625, -57.784941","36°06'59.7""S 57°44'43.1""W","36°08'15.5""S 57°47'05.8""W",4519,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1bAe9RLpp0jcajYyIcM9-Snb1mCTTTuA&usp=sharing,https://www.google.com/maps/d/embed?mid=1bAe9RLpp0jcajYyIcM9-Snb1mCTTTuA&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1GKu8Od7gFJ4ZugM1J-RzMz3uZcRspJQb/view?usp=drive_link,7/10/2025,16/11/2025,Finalizado,,150,,,,,150,,,30,330,"$0,00","$22.200.000,00",,"$0,00","$0,00","$0,00","$24.600.000,00","$0,00","$0,00","$3.510.000,00","$50.310.000,00"
Zona 8,Dolores,3,40,EX-2025-34982952- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Canal 10,Desde el puente y conformación del Arroyo Las Víboras hasta la desembocadura del afluente en el canal 10,"-36.180029, -57.471627","-36.164106, -57.493728","36°10'48.1""S 57°28'17.9""W","36°09'50.8""S 57°29'37.4""W",2813,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1CH8eL48GRkHeInClMlHf6rWZBFU8fE4&usp=sharing,https://www.google.com/maps/d/embed?mid=1CH8eL48GRkHeInClMlHf6rWZBFU8fE4&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1kAroJ9o3Bif_qW-5dCLc2SJScDHZu546/view?usp=drive_link,7/10/2025,16/11/2025,En ejecución,,,,210,51,110,,,,,371,"$0,00","$0,00",,"$24.780.000,00","$5.237.700,00","$16.280.000,00","$0,00","$0,00","$0,00","$0,00","$46.297.700,00"
Zona 8,General Guido,3,40,EX-2025-34982952- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Arroyo Chelforó,Desde el Cno. prov. 037-05 hasta los límites del partico de Ayacucho,"-36.930406, -58.145752","-36.927150, -58.223064","36°55'49.5""S 58°08'44.7""W","36°55'37.7""S 58°13'23.0""W",5470,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1qoIm4huFcLOhxicjMEhBGYdD84gxUbE&usp=sharing,https://www.google.com/maps/d/embed?mid=1qoIm4huFcLOhxicjMEhBGYdD84gxUbE&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1ZSXwz2N8VhHOUOoTb5Frn_W7SuyN6Q_V/view?usp=drive_link,7/10/2025,16/11/2025,En ejecución,40,150,,20,,50,35,33,50,150,528,"$6.160.000,00","$22.200.000,00",,"$2.360.000,00","$0,00","$7.400.000,00","$5.740.000,00","$5.763.120,00","$8.140.000,00","$17.550.000,00","$75.313.120,00"